"","CountyName","STAB","COUNTY","STATEFIP","Target","Impacted","LivingWith","AtRisk"
"1","2063","AK",2063,2,4.437,1.476235488,0.52996398,0.3551764125
"2","2066","AK",2066,2,1.632,0.542983168,0.19492928,0.1306396
"3","Abbeville SC","SC",45001,45,9.1429,0.8078440292,0.4270380647,0
"4","Acadia Parish LA","LA",22001,22,40.5744,8.2483612734,5.87692836,0.0017872407
"5","Accomack VA","VA",51001,51,3.5154,0.09350964,0.02337741,0
"6","Ada ID","ID",16001,16,795.9132,314.5109597308,141.2290470157,21.169127324
"7","Adair IA","IA",19001,19,3.066,0.634319484,0.614944992,0
"8","Adair KY","KY",21001,21,1.2593,0.3081068144,0.3081068144,0
"9","Adair MO","MO",29001,29,3.0795,2.96093925,0,0.7402348125
"10","Adair OK","OK",40001,40,16.376,2.145008704,1.064155904,0.5404264
"11","Adams CO","CO",8001,8,1825.865,701.4350729354,497.0500588862,39.006797345225
"12","Adams IA","IA",19003,19,1.5162,0.3136840188,0.3041029344,0
"13","Adams ID","ID",16003,16,0.0141,0.0105979662,0.00264949155,0
"14","Adams IL","IL",17001,17,35.1429,0.4990345158,0.4894519568,0.002335078
"15","Adams IN","IN",18001,18,0,0,0,0
"16","Adams MS","MS",28001,28,28.0226,9.5621377028,9.476251622,0
"17","Adams ND","ND",38001,38,1.9206,0.3451528476,0.29775991905,0
"18","Adams NE","NE",31001,31,38.5776,4.6475109828,3.5196723432,0
"19","Adams OH","OH",39001,39,6.5934,2.1852735168,0.6228750792,0
"20","Adams PA","PA",42001,42,18.4161,14.3190814428,3.5797703607,0
"21","Adams WA","WA",53001,53,92.1636,19.0350488928,14.2040150862,1.0322267496
"22","Adams WI","WI",55001,55,4.0888,2.079577668,1.32288282,0.378347424
"23","Addison VT","VT",50001,50,46.092,15.634590768,3.831482232,0.10697346
"24","Adjuntas Municipio PR","PR",72001,72,0,0,0,0
"25","Aguada Municipio PR","PR",72003,72,0,0,0,0
"26","Aguadilla Municipio PR","PR",72005,72,0,0,0,0
"27","Aguas Buenas Municipio PR","PR",72007,72,0,0,0,0
"28","Aibonito Municipio PR","PR",72009,72,0,0,0,0
"29","Aiken SC","SC",45003,45,22.555,11.47598747,7.24802843,0
"30","Aitkin MN","MN",27001,27,0.5052,0.0777280512,0.0194320128,0
"31","Alachua FL","FL",12001,12,868,522.919151,285.90764,12.7495605
"32","Alamance NC","NC",37001,37,122.2589,39.9901276098,25.4926262602,0.099014711
"33","Alameda CA","CA",6001,6,12391.7284,6156.4157832607,4530.7571320134,138.9398414518
"34","Alamosa CO","CO",8003,8,6.0012,3.8852420597,0.971310514925,0
"35","Albany NY","NY",36001,36,1218,550.998311,299.36563325,51.8007365
"36","Albany WY","WY",56001,56,86.4774,38.8660545912,13.3739920362,0.178967808
"37","Albemarle VA","VA",51003,51,513.7178,231.0282185061,81.296008629375,50.00481603845
"38","Alcona MI","MI",26001,26,0,0,0,0
"39","Alcorn MS","MS",28003,28,0,0,0,0
"40","Aleutians East Borough AK","AK",2013,2,1.6362,1.1926665396,1.1166770484,0.000207252
"41","Aleutians West Census Area AK","AK",2016,2,2.5002,1.8224574516,1.7063414964,0.000316692
"42","Alexander IL","IL",17003,17,2.6867,0.8078154624,0.8078154624,0
"43","Alexander NC","NC",37003,37,0,0,0,0
"44","Alexandria city VA","VA",51510,51,8519.5168,4888.0445149056,3762.9482266924,182.5266923614
"45","Alfalfa OK","OK",40003,40,0,0,0,0
"46","Alger MI","MI",26003,26,14.238,2.983060332,1.994475312,0.0318601692
"47","Allamakee IA","IA",19005,19,19.32,17.98269192,12.96493632,1.97922582
"48","Allegan MI","MI",26005,26,129.974,30.5724662836,0.022435512,15.2413621178
"49","Allegany MD","MD",24001,24,33.0316,3.6092209664,3.5785226624,0
"50","Allegany NY","NY",36003,36,25.2121,13.6212840694,6.3835765306,0.5940185251
"51","Alleghany NC","NC",37005,37,1.6761,1.3118568492,0.3031824017,0.1438609966
"52","Alleghany VA","VA",51005,51,6.1656,2.349569832,2.0116017888,0.0399438144
"53","Allegheny PA","PA",42003,42,3610.8396,1341.9640949172,628.61023074765,118.4428587655
"54","Allen IN","IN",18003,18,831,365.561297,236.094087,31.4288785
"55","Allen KS","KS",20001,20,0,0,0,0
"56","Allen KY","KY",21003,21,0,0,0,0
"57","Allen OH","OH",39003,39,39,8.395858,7.2848845,0
"58","Allen Parish LA","LA",22003,22,12.2255,4.2548493911,3.4420582319,0.001614879
"59","Allendale SC","SC",45005,45,28.0521,5.6512400638,4.2112831878,0
"60","Alpena MI","MI",26007,26,0,0,0,0
"61","Alpine CA","CA",6003,6,1.3293,0.7382071557,0.43223468715,0
"62","Amador CA","CA",6005,6,44.4999,24.7123633551,14.46957071745,0
"63","Amelia VA","VA",51007,51,37.1631,6.6794748144,3.9102496322,0.4626459974
"64","Amherst VA","VA",51009,51,37.2866,10.617938172,5.5154958878,0.4563341272
"65","Amite MS","MS",28005,28,12.0741,4.1200390698,4.083033327,0
"66","Anchorage Borough AK","AK",2020,2,1295.1167,667.4234788654,315.5755460858,52.75796066
"67","Anderson KS","KS",20003,20,0,0,0,0
"68","Anderson KY","KY",21005,21,23.2744,7.8167194282,6.9770384431,5.184e-06
"69","Anderson SC","SC",45007,45,43.4968,35.8483702982,26.70383879285,0
"70","Anderson TN","TN",47001,47,87.2439,35.2079752148,18.2847155848,5.8348996947
"71","Anderson TX","TX",48001,48,106.2695,32.667978676,30.6716933,0
"72","Andrew MO","MO",29003,29,10.3415,9.94335225,9.94335225,0
"73","Andrews TX","TX",48003,48,0,0,0,0
"74","Androscoggin ME","ME",23001,23,825,716.962106,289.738342,125.73927775
"75","Angelina TX","TX",48005,48,29.744,18.371251184,5.592163148,0
"76","Anne Arundel MD","MD",24003,24,3774.2795,1128.9049241869,761.20589836765,36.2765060837
"77","Anoka MN","MN",27003,27,6452,3261.066324,1932.059544,315.48431425
"78","Anson NC","NC",37007,37,17.7072,9.4309297376,4.9637022008,0
"79","Antelope NE","NE",31003,31,8.9001,7.4127878528,7.0082871056,0.0971651538
"80","Antrim MI","MI",26009,26,10.1335,4.628555634,4.1550556863,0
"81","Apache AZ","AZ",4001,4,0,0,0,0
"82","Appanoose IA","IA",19007,19,5.04,1.04271696,1.01086848,0
"83","Appling GA","GA",13001,13,0,0,0,0
"84","Appomattox VA","VA",51011,51,20.3748,5.791927271,3.0860611354,0.3074575427
"85","Aransas TX","TX",48007,48,1.6452,1.3991014784,1.3275052992,0.0357980896
"86","Arapahoe CO","CO",8005,8,7461.346,3687.422298171,2567.50449788655,226.4346059655
"87","Archer TX","TX",48009,48,1.6223,0.627709071,0.2777766118,0.009105591
"88","Archuleta CO","CO",8007,8,17.918,5.941534816,2.6794347156,0.1824835012
"89","Arecibo Municipio PR","PR",72013,72,0,0,0,0
"90","Arenac MI","MI",26011,26,0,0,0,0
"91","Arkansas AR","AR",5001,5,10.6234,0.221487928,0.221487928,0
"92","Arlington VA","VA",51013,51,4036.5958,2038.0849455141,1567.41112901512,95.838468055925
"93","Armstrong PA","PA",42005,42,69.549,17.3434661382,9.2720173521,0.002138886
"94","Armstrong TX","TX",48011,48,0.6042,0.252082628,0.2048820788,0.013815033
"95","Aroostook ME","ME",23003,23,10.9344,10.5134256,4.5996237,0
"96","Arroyo Municipio PR","PR",72015,72,0,0,0,0
"97","Arthur NE","NE",31005,31,2.394,2.1574102116,1.2239017056,0.2852787588
"98","Ascension Parish LA","LA",22005,22,60.0102,25.215974176,25.214544544,0
"99","Ashe NC","NC",37009,37,12.5338,4.6907582168,2.1532592112,0.246849443
"100","Ashland OH","OH",39005,39,37.8446,4.8390477794,4.8332760054,0.0013343036
"101","Ashland WI","WI",55003,55,2.992,1.91650888,1.729776334,0.075771696
"102","Ashley AR","AR",5003,5,0,0,0,0
"103","Ashtabula OH","OH",39007,39,23,19.062824,2.426798,2.338908
"104","Asotin WA","WA",53003,53,101.1741,20.8987519619,15.59542836775,1.1330551598
"105","Assumption Parish LA","LA",22007,22,6.5867,5.108634866,2.6843620415,0
"106","Atascosa TX","TX",48013,48,18.6825,14.82241068,12.85667892,0
"107","Atchison KS","KS",20005,20,0,0,0,0
"108","Atchison MO","MO",29005,29,5.6613,2.4269853822,1.2700057416,0.2923712253
"109","Athens OH","OH",39009,39,138.1716,38.9762761508,32.822192042,1.96050148
"110","Atkinson GA","GA",13003,13,3.5697,0.8344296,0.72202806,0.05620077
"111","Atlantic NJ","NJ",34001,34,390.0904,175.5999932145,161.8106701909,0.0691468806
"112","Atoka OK","OK",40005,40,0,0,0,0
"113","Attala MS","MS",28007,28,5.0391,0.7752957696,0.7752957696,0
"114","Audrain MO","MO",29007,29,1.8436,0.5321846376,0.5321846376,0
"115","Audubon IA","IA",19009,19,2.3226,0.4805187324,0.4658418912,0
"116","Auglaize OH","OH",39011,39,15.752,13.7072891934,12.79813012335,0
"117","Augusta VA","VA",51015,51,53.3252,13.358026958,11.6342843516,0.1949275104
"118","Aurora SD","SD",46003,46,4.4895,3.696084974,0.687303705,0.75219531725
"119","Austin TX","TX",48015,48,33.3326,7.554311634,3.5762466082,0.4154102368
"120","Autauga AL","AL",1001,1,17.6871,9.62001369,2.4050034225,0
"121","Avery NC","NC",37011,37,8.4861,3.1592327868,1.4575085535,0.1644304452
"122","Avoyelles Parish LA","LA",22009,22,6.075,0.2856357,0.2594403,0.0130977
"123","Añasco Municipio PR","PR",72011,72,0,0,0,0
"124","Baca CO","CO",8009,8,1.2852,0.8320524387,0.208013109675,0
"125","Bacon GA","GA",13005,13,4.8034,1.1228112,0.97156332,0.07562394
"126","Bailey TX","TX",48017,48,6.783,2.942078712,2.875104168,0.016743636
"127","Baker FL","FL",12003,12,18.5796,14.8272487392,5.0491080114,0.9122179851
"128","Baker GA","GA",13007,13,0.1428,0.0624572928,0.0156143232,0
"129","Baker OR","OR",41001,41,9.4646,3.7729008686,0.794521195,0.6418939043
